CRIM,ZN,INDUS,POLINDEX,RM,AGE,DIS,HIGHWAYCOUNT,TAX,PTRATIO,IMM,BPL,PRICE,RIVERSIDE
1.026768845,1.429034087,7.85130046,1.134216027,6,42,5.251910779,5,279.2012765,20.68958621,398.81196,10.46145613,22.99163308,NO
0.848088964,0.255543003,6.263433643,1.245993213,7,63,4.30554585,8,307.4445287,17.46539846,377.1536486,11.61968995,24.55105522,NO
10.92590474,0.44102216,18.32296048,2.824832671,8,-2,2.409495066,25,666.4929733,20.35160056,387.0613546,19.36607021,15.87534576,NO
0.559027201,1.041174837,11.11492041,0.7949525,6,9,6.898669366,4,305.514181,19.78731418,391.7786468,6.206820329,23.00775647,NO
0.905063201,81.16796348,3.673369221,1.029030374,8,20,10.24646294,1,315.9139603,17.36043856,395.8331662,10.82710537,21.50317655,NO
10.02477066,0.473321603,18.58045309,0.970169096,6,95,2.107826335,25,666.9045349,20.49818795,397.9143962,25.25142351,14.04918484,NO
0.649502065,96.49696044,3.016815695,0.976858045,9,35,5.138501497,6,224.4514152,15.69671676,392.9884295,4.462662699,49.86874463,NO
0.71269884,0.882696835,21.97863219,1.186936241,7,97,2.6192835,4,437.5336051,22.23534324,388.8002769,15.44736065,18.56434977,NO
0.413349855,1.059813826,6.459011701,0.804208016,6,36,6.524673467,7,224.7151159,21.60535402,397.5097507,8.015028637,22.56638489,UNKNOWN
0.636040164,0.868701098,12.74799386,1.865498574,8,78,2.650397858,2,273.2318004,21.10078183,398.1640928,9.956867851,20.68896641,NO
3.304369003,0.490086518,20.06273255,2.278768025,6,99,1.391987467,6,403.1003688,15.05641078,397.1950447,30.28516121,12.26493944,UNKNOWN
1.656863242,0.263416874,22.61737524,1.605176369,6,96,2.691195549,6,437.4637496,21.59175257,398.7558044,18.37053968,16.06396036,NO
0.178937571,0.10793283,11.38223047,1.136219873,6,19,8.312420085,4,306.2402376,21.18906095,377.2504446,10.7788482,22.0766754,NO
1.085612625,2.401876544,7.568410204,1.132761721,8,73,4.719882833,8,308.4124207,19.10294488,391.3123841,5.779034463,31.94305122,NO
11.11536738,1.154237392,18.33832091,1.533564284,7,86,2.808839878,24,667.3739426,20.56010664,83.56149057,17.90938158,16.2442977,NO
0.886024965,21.9905813,3.676025161,1.326340124,8,37,5.564575554,6,217.0501913,15.04943973,394.0235142,5.166237031,37.20964105,NO
0.115406002,1.51549034,4.655416796,0.512363736,7,76,3.199695606,6,297.1052763,18.21137715,392.6982468,7.48923001,30.45645925,NO
0.342594772,41.17925951,7.072399744,0.556617422,9,50,5.349678178,5,255.6813252,17.77779572,390.3764457,6.103956778,33.45156474,YES
0.693663774,81.62050134,3.904567969,0.813762932,8,32,9.480578026,2,315.1225851,16.92825431,393.2463635,7.28053014,22.06778649,NO
4.406294873,1.121568778,20.7375984,0.876250791,8,92,3.449278971,25,666.135487,20.39098793,391.6555804,13.60607615,21.84796798,YES
6.803549581,1.703081707,18.83171965,1.794284585,10,99,3.560338304,25,666.5035066,20.22244888,355.5140042,18.88931437,17.32788301,NO
6.724842449,0.266995192,19.70340598,0.766146565,7,101,2.328625792,25,667.1259207,21.50599266,396.4096275,17.58712078,18.59328204,NO
2.087479131,22.22509601,5.867414402,1.672636377,9,8,9.009289863,8,330.1893414,19.681905,386.7758934,4.090112235,29.95158104,NO
3.1669542,0.098891795,20.33605694,1.348919726,6,94,1.80598728,8,403.0851538,16.47433862,88.69954398,16.36001819,15.2463187,NO
7.986240126,0.60042747,19.83943393,1.743235772,7,84,3.237291332,24,666.4031061,21.07384461,397.5252267,14.58927024,20.84783914,NO
10.50252557,0.164652208,20.49208359,1.537924064,7,97,3.077212814,25,666.6389721,21.08007973,388.5255925,17.31105433,13.66141252,NO
0.513964127,21.17753168,7.145806883,1.139978117,7,47,7.321163884,5,244.2844967,17.23585722,396.0436119,13.61651314,21.6670663,NO
0.680824036,14.16450379,7.377077695,1.834777274,7,37,6.760838513,5,345.3673647,20.71686428,397.2642795,13.85515268,18.9300486,NO
