Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
02-01-2009,2009,Waterbury,111440,185000,Single Family,Detached House,3,3,996,1.025953,South
02-01-2009,2009,Bridgeport,124670,150000,Two Family,Duplex,4,3,1241,1.025953,South
02-01-2009,2009,Waterbury,55720,140000,Single Family,Detached House,3,2,910,1.025953,South
02-01-2009,2009,Bridgeport,4775276,272900,Single Family,Detached House,3,1,971,1.025953,East
02-01-2009,2009,Bridgeport,112351,210000,?,Detached House,3,2,1092,1.025953,East
02-01-2009,2009,Greenwich,2868880,3300000,Single Family,Detached House,3,1,1039,1.025953,North
02-01-2009,2009,Norwalk,571060,1000000,Single Family,Detached House,3,2,,1.025953,South
02-01-2009,2009,Greenwich,592760,920000,Single Family,Detached House,3,3,937,1.025953,North
02-01-2009,2009,,603540,1680000,Single Family,Detached House,3,1,1039,1.025953,East
02-01-2009,2009,Bridgeport,137901,245000,Single Family,Detached House,3,1,956,1.025953,West
03-01-2009,2009,Bridgeport,122150,256500,Single Family,Detached House,3,1,926,1.025953,South
03-01-2009,2009,Norwalk,,1340000,Single Family,Detached House,3,1,936,1.025953,North
03-01-2009,2009,Bridgeport,103950,310000,Single Family,Detached House,3,2,997,1.025953,East
03-01-2009,2009,Greenwich,1046920,600000,Single Family,Detached House,3,3,1068,1.025953,South
04-01-2009,2009,Bridgeport,,300000,Three Family,Triplex,6,4,2174,1.025953,South
04-01-2009,2009,Norwalk,208880,370000,Single Family,Detached House,3,2,1063,1.025953,South
05-01-2009,2009,Waterbury,74620,206500,Single Family,Detached House,3,3,966,1.025953,South
05-01-2009,2009,Waterbury,51450,187900,Three Family,Triplex,6,5,1825,1.025953,North
05-01-2009,2009,Bridgeport,97719,265000,Two Family,Duplex,4,2,,1.025953,North
05-01-2009,2009,Fairfield,793240,800000,Single Family,Detached House,3,1,1064,1.025953,South
05-01-2009,2009,Bridgeport,112630,235000,Two Family,Duplex,4,3,,1.025953,East
05-01-2009,2009,Greenwich,1162140,1990000,Single Family,Detached House,3,1,,1.025953,North
08-01-2009,2009,,1260560,1895000,Single Family,Detached House,3,3,1005,1.025953,South
08-01-2009,2009,,38640,115000,Three Family,Triplex,6,5,2104,1.025953,West
08-01-2009,2009,Norwalk,326550,500000,?,Detached House,3,3,,1.025953,South
08-01-2009,2009,Waterbury,56070,75000,Two Family,Duplex,4,2,1373,1.025953,West
09-01-2009,2009,Bridgeport,140910,254000,Single Family,Detached House,3,2,1093,1.025953,West
09-01-2009,2009,Waterbury,56420,221600,Two Family,Duplex,4,4,1295,1.025953,South
09-01-2009,2009,Waterbury,23380,195000,Three Family,Triplex,6,5,1935,1.025953,West
09-01-2009,2009,Norwalk,154210,412000,Single Family,Detached House,3,1,955,1.025953,South
10-01-2009,2009,Waterbury,82320,290000,Single Family,Detached House,3,2,1038,1.025953,North
10-01-2009,2009,Bridgeport,,269900,Single Family,Detached House,3,1,1008,1.025953,West
11-01-2009,2009,Waterbury,41650,65000,?,Detached House,3,1,1026,1.025953,West
12-01-2009,2009,,1768340,2200000,Single Family,Detached House,3,2,994,1.025953,South
12-01-2009,2009,Fairfield,578270,860000,Single Family,Detached House,3,1,1060,1.025953,East
12-01-2009,2009,Bridgeport,128590,185400,Single Family,Detached House,3,3,,1.025953,North
16-01-2009,2009,,481110,765000,Single Family,Detached House,3,3,,1.025953,South
16-01-2009,2009,,201180,345000,Single Family,Detached House,3,2,1001,1.025953,South
16-01-2009,2009,,53778,145000,Single Family,Detached House,3,3,962,1.025953,East
16-01-2009,2009,,71190,237500,?,Duplex,4,2,1427,1.025953,North
