department,study_mode,hosteller,attendance,assignment_score,midterm_score,final_score,study_hours,backlogs,placement_selected
CSE,Offline,Yes,88,60,55,98,1.5,0,1
ME,Offline,Yes,85,94,56,36,3.8,3,0
CSE,Hybrid,No,67,98,58,77,5.2,2,1
CE,Offline,No,88,88,43,40,4.8,1,1
CSE,Hybrid,No,99,90,76,98,7,1,1
CSE,Offline,No,97,79,77,54,5.9,3,1
ECE,Online,No,74,55,62,44,6.3,0,1
CSE,Hybrid,No,62,45,72,40,4.6,3,0
ECE,Hybrid,No,78,62,93,85,7.3,0,1
CSE,Offline,No,53,55,43,66,3.6,3,0
CE,Online,Yes,57,69,56,98,5.5,5,0
ME,Offline,Yes,66,44,62,33,7.7,1,0
ME,Hybrid,Yes,90,95,93,82,5.1,1,1
CE,Offline,No,53,62,69,98,4.1,3,0
CSE,Hybrid,No,58,79,78,64,5.1,5,0
CE,Hybrid,No,66,76,57,78,3.8,3,0
ECE,Offline,Yes,95,89,54,39,4.5,4,0
ECE,Hybrid,Yes,64,43,43,64,6.3,3,0
ME,Online,Yes,91,86,63,59,2.6,3,0
ECE,Offline,Yes,87,75,92,88,3.2,2,1
CE,Online,Yes,52,59,81,35,1.4,4,0
ECE,Hybrid,Yes,94,36,50,42,3,5,0
CE,Hybrid,Yes,57,45,28,61,5.6,2,0
CE,Offline,Yes,95,92,70,70,6,5,1
CE,Online,No,60,53,92,91,4.7,3,1
CSE,Offline,Yes,86,44,96,92,6.3,5,0
ECE,Hybrid,Yes,79,92,34,97,4,2,1
CSE,Online,No,88,44,29,97,5.3,3,0
CE,Online,Yes,61,46,33,93,6.3,5,0
CE,Offline,No,55,99,89,70,5.6,0,1
CE,Online,No,81,35,46,92,5.2,4,0
ME,Offline,No,80,35,58,97,5.9,4,0
ME,Offline,Yes,92,45,88,92,2.7,1,1
ME,Offline,No,61,76,47,83,4.4,1,1
CE,Online,No,83,44,51,45,6.4,4,0
EE,Offline,Yes,98,62,88,97,0.9,0,1
CSE,Online,No,65,41,90,36,6.5,1,0
EE,Hybrid,No,69,37,83,54,2.9,3,0
ME,Online,Yes,67,44,76,79,4.2,4,0
CE,Online,No,98,76,97,31,5,1,1
EE,Offline,Yes,93,49,52,49,5,5,0
CSE,Hybrid,No,89,99,59,75,7.2,0,1
