student_id,department,study_mode,hosteller,attendance,assignment_score,midterm_score,final_score,study_hours,backlogs
1,ME,Online,Yes,86,46,43,48,6,7
2,EE,Hybrid,No,69,99,76,73,5.6,4
3,ME,Offline,Yes,98,57,93,36,3.2,2
4,ECE,Online,Yes,60,78,45,56,3,4
5,CE,Hybrid,No,94,68,55,41,3.9,6
6,ME,Online,Yes,55,59,80,27,6.6,3
7,CE,Online,No,78,36,73,30,3.5,2
8,ECE,Online,No,68,95,50,89,3.2,5
9,ECE,Online,Yes,84,38,96,28,4.1,0
10,CSE,Hybrid,Yes,47,97,97,86,,7
11,ECE,Online,Yes,45,77,90,34,5.8,7
12,ECE,Online,Yes,94,74,88,73,-1.3,7
13,CSE,Offline,Yes,72,92,71,85,1.8,1
14,CSE,Online,No,75,45,26,26,4.2,7
15,ECE,Online,Yes,81,80,62,67,3.6,6
16,CE,Offline,No,,68,71,94,3.5,4
17,EE,Hybrid,No,85,63,81,83,2.5,3
18,CSE,Offline,No,72,77,92,96,4.3,2
19,CSE,Hybrid,No,56,61,55,30,4,3
20,EE,Online,No,73,39,27,67,4.3,3
21,ECE,Offline,No,88,92,64,31,2.9,0
22,CE,Hybrid,No,69,46,98,59,5.2,6
23,ME,Online,No,74,83,40,99,4.4,2
24,EE,Hybrid,Yes,70,32,35,40,9.3,4
25,ME,Online,Yes,,63,46,69,4.7,7
26,EE,Online,No,83,,91,78,6,7
27,CSE,Hybrid,No,88,72,55,99,4.9,5
28,CSE,Offline,Yes,70,88,27,78,4.2,5
29,ECE,Online,No,73,96,45,75,4.9,0
30,CE,Offline,No,81,67,33,89,2.2,0
31,EE,Online,No,61,69,69,53,4.2,4
32,EE,Online,Yes,96,57,91,90,3.6,3
33,EE,Offline,Yes,63,64,70,30,3.5,1
34,ECE,Hybrid,No,57,97,60,54,7,6
35,CE,Offline,Yes,71,33,57,82,,1
36,ME,Online,No,63,70,64,86,6.8,5
37,ECE,Offline,No,60,64,66,31,5.9,2
38,EE,Online,Yes,52,,60,87,,2
39,CSE,Offline,No,97,67,60,40,4.8,0
40,CE,Hybrid,No,53,84,64,95,3.7,7
41,ME,Hybrid,Yes,99,49,73,64,5,0
42,CSE,Offline,No,,88,44,58,6.7,3
43,CE,Offline,Yes,61,42,62,38,6.9,7
44,ME,Online,Yes,59,64,59,37,5.3,4
45,ME,Hybrid,Yes,74,78,58,57,1.9,3
46,ME,Offline,Yes,47,80,89,55,4.6,1
47,ME,Hybrid,No,61,61,38,37,4.2,7
48,EE,Online,Yes,58,54,39,59,4.2,7
49,CE,Online,Yes,59,79,33,46,6.3,7
50,CE,Hybrid,Yes,67,30,30,89,2.8,6
51,EE,Hybrid,Yes,92,84,48,40,4.1,0
52,EE,Offline,Yes,64,62,37,28,3.4,0
53,CE,Offline,Yes,69,56,71,50,4.1,3
54,ME,Online,Yes,45,55,95,67,3,1
55,CSE,Hybrid,Yes,70,38,27,97,5.2,4
56,EE,Hybrid,No,83,85,96,48,6.6,6
57,CE,Offline,Yes,74,88,30,35,6.4,3
58,ECE,Online,No,78,32,35,43,-0.6,0
59,CE,Hybrid,No,55,89,91,70,4.7,6
60,ME,Hybrid,Yes,55,80,61,29,4.5,1
61,ECE,Hybrid,Yes,90,68,73,30,2.1,4
62,ME,Hybrid,No,91,69,75,48,6.4,4
63,EE,Offline,Yes,62,55,42,86,4.2,3
64,CSE,Online,No,94,61,38,53,5.1,3
65,ECE,Hybrid,Yes,82,46,74,52,3,1
66,EE,Offline,Yes,48,88,84,39,5.1,6
67,ME,Hybrid,Yes,83,66,40,94,1.5,0
68,ECE,Hybrid,Yes,62,60,91,42,7.1,6
69,ECE,Offline,Yes,45,69,44,59,3.5,5
70,CE,Offline,Yes,90,82,84,25,3.4,5
71,EE,Online,Yes,45,,36,82,,0
72,ECE,Offline,Yes,51,70,91,77,6,5
73,CSE,Offline,Yes,82,63,90,51,4.7,5
74,CSE,Hybrid,Yes,68,78,96,61,4.8,2
75,CE,Online,Yes,99,92,87,31,3.3,2
76,ECE,Hybrid,Yes,51,39,76,82,7.7,1
77,CE,Hybrid,No,56,82,52,77,4.3,6
78,CE,Hybrid,Yes,53,69,77,61,4.4,2
79,CE,Offline,No,94,63,28,88,7.4,6
80,ECE,Hybrid,No,55,59,86,63,6.5,0
81,ECE,Online,Yes,80,93,28,88,7.4,5
82,ME,Online,No,53,95,72,46,5.2,6
83,CE,Hybrid,No,81,37,58,39,7.5,5
84,CE,Offline,No,,60,73,89,5.7,1
85,CE,Online,Yes,53,59,96,25,6.8,4
86,CE,Offline,Yes,55,84,21,91,6.7,6
87,CSE,Offline,Yes,87,51,88,55,2,4
88,ECE,Online,Yes,93,43,33,96,2.8,3
89,CE,Hybrid,No,57,58,83,82,4.2,1
90,ECE,Hybrid,Yes,51,83,37,76,6.3,3
91,EE,Offline,Yes,80,87,64,98,6,0
92,CE,Online,No,99,34,84,45,3.7,2
